# metric_direction: higher
# mode: loop
# parallel: serial
# web_search: disabled
# goal: Improve the non-LLM recall pipeline by consuming layered memory DSL in ordinary retrieval and working-memory assembly
# scope: src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs
# repos_json: [{"path":"/home/tongyuan/project/agent_memos","role":"primary","scope":"src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs"}]
# metric: retrieval_green_checks
# verify: cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly
# guard: cargo clippy --quiet --all-targets -- -D warnings
# rollback_policy: revert
iteration	commit	metric	delta	guard	status	description
365	d61dc8258aab1dd81b3749323197614ed3e01c06	206	0	pass	no-op	[labels: combined-verify-206-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking DSL payload and structured-snippet preservation on the default branch-support seam; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=73/73 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 206, and both explicit-record-id and default-all-fragments branch-support seams remain covered alongside the world-fragment assembly surface.
366	d61dc8258aab1dd81b3749323197614ed3e01c06	206	0	pass	no-op	[labels: default-branch-support-audit-206, lexical-first, working-memory-assembly] Audited the default branch-support seam after the latest DSL/snippet addition. The current focused coverage on that path now locks provenance, mixed trace provenance, score, T3 truth-context, and DSL plus structured-snippet preservation, but it still does not have separate contracts for citation authority metadata on the default clone path, so this seam remains distinct from the explicit follow-up-id branch-support path even though the retained metric stays at 206 after this audit.
367	d61dc8258aab1dd81b3749323197614ed3e01c06	207	+1	pass	keep	[labels: default-branch-support-citation-source-uri-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks citation source_uri preservation on the default branch-support seam, asserting ActionBranch.supporting_evidence keeps the cloned world-fragment citation.source_uri and citation.record_id when supporting_record_ids is left empty. The focused verify surface passed cleanly at working_memory_assembly=74/74 with clippy green, so the retained ordinary-retrieval surface rises from 206 to 207.
368	d61dc8258aab1dd81b3749323197614ed3e01c06	207	0	pass	no-op	[labels: combined-verify-207-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking citation source_uri preservation on the default branch-support seam; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=74/74 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 207, and both explicit-record-id and default-all-fragments branch-support seams remain covered alongside the world-fragment assembly surface.
369	d61dc8258aab1dd81b3749323197614ed3e01c06	207	0	pass	no-op	[labels: default-branch-support-audit-207, lexical-first, working-memory-assembly] Audited the default branch-support seam after the latest citation source_uri addition. The current focused coverage on that path now locks provenance, mixed trace provenance, score, T3 truth-context, DSL plus structured-snippet preservation, and citation.source_uri linkage, but it still does not have separate contracts for the remaining citation authority subfields on the default clone path, so this seam remains distinct from the explicit follow-up-id branch-support path even though the retained metric stays at 207 after this audit.
370	d61dc8258aab1dd81b3749323197614ed3e01c06	208	+1	pass	keep	[labels: default-branch-support-citation-source-kind-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks citation source_kind preservation on the default branch-support seam, asserting ActionBranch.supporting_evidence keeps the cloned world-fragment citation.source_kind when supporting_record_ids is left empty. The focused verify surface passed cleanly at working_memory_assembly=75/75 with clippy green, so the retained ordinary-retrieval surface rises from 207 to 208.
371	d61dc8258aab1dd81b3749323197614ed3e01c06	209	+1	pass	keep	[labels: default-branch-support-citation-source-label-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks citation source_label preservation on the default branch-support seam, asserting ActionBranch.supporting_evidence keeps the cloned world-fragment citation.source_label when supporting_record_ids is left empty. The focused verify surface passed cleanly at working_memory_assembly=76/76 with clippy green, so the retained ordinary-retrieval surface rises from 208 to 209.
372	d61dc8258aab1dd81b3749323197614ed3e01c06	209	0	pass	no-op	[labels: combined-verify-209-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking citation source_label preservation on the default branch-support seam; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=76/76 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 209, and both explicit-record-id and default-all-fragments branch-support seams remain covered alongside the world-fragment assembly surface.
373	d61dc8258aab1dd81b3749323197614ed3e01c06	210	+1	pass	keep	[labels: default-branch-support-citation-validity-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks citation-validity preservation on the default branch-support seam, asserting ActionBranch.supporting_evidence keeps the cloned world-fragment citation.validity window when supporting_record_ids is left empty. The focused verify surface passed cleanly at working_memory_assembly=77/77 with clippy green, so the retained ordinary-retrieval surface rises from 209 to 210.
374	d61dc8258aab1dd81b3749323197614ed3e01c06	210	0	pass	no-op	[labels: combined-verify-210-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking citation-validity preservation on the default branch-support seam; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=77/77 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 210, and both explicit-record-id and default-all-fragments branch-support seams remain covered alongside the world-fragment assembly surface.
375	d61dc8258aab1dd81b3749323197614ed3e01c06	211	+1	pass	keep	[labels: default-branch-support-citation-recorded-at-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks citation recorded_at preservation on the default branch-support seam, asserting ActionBranch.supporting_evidence keeps the cloned world-fragment citation.recorded_at when supporting_record_ids is left empty. The focused verify surface passed cleanly at working_memory_assembly=78/78 with clippy green, so the retained ordinary-retrieval surface rises from 210 to 211.
376	d61dc8258aab1dd81b3749323197614ed3e01c06	212	+1	pass	keep	[labels: default-branch-support-citation-anchor-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks citation anchor preservation on the default branch-support seam, asserting ActionBranch.supporting_evidence keeps the cloned world-fragment citation chunk_index, chunk_count, and line-range anchor when supporting_record_ids is left empty. The focused verify surface passed cleanly at working_memory_assembly=79/79 with clippy green, so the retained ordinary-retrieval surface rises from 211 to 212.
377	d61dc8258aab1dd81b3749323197614ed3e01c06	212	0	pass	no-op	[labels: combined-verify-212-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking citation anchor preservation on the default branch-support seam; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=79/79 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 212, and both explicit-record-id and default-all-fragments branch-support seams remain covered alongside the world-fragment assembly surface.
378	d61dc8258aab1dd81b3749323197614ed3e01c06	207	-5	pass	no-op	[labels: default-branch-support-audit-207b, lexical-first, working-memory-assembly] Audited the default branch-support seam after the latest citation source_uri/source_kind additions. The current focused coverage on that path now locks provenance, mixed trace provenance, score, T3 truth-context, DSL plus structured-snippet preservation, and citation.source_uri plus citation.source_kind, but it still does not have separate contracts for citation.source_label, validity, recorded_at, or anchor on the default clone path, so this seam remains an independent high-signal area despite the retained metric staying at 207 after this audit.
379	d61dc8258aab1dd81b3749323197614ed3e01c06	213	+1	pass	keep	[labels: default-branch-support-filter-trace-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks applied-filter trace preservation on the default branch-support seam, asserting ActionBranch.supporting_evidence keeps scope, record_type, truth_layer, and matched_query when supporting_record_ids is left empty and the assembler clones all world_fragments into branch support. The focused verify surface passed cleanly at working_memory_assembly=80/80 with clippy green, so the retained ordinary-retrieval surface rises from 212 to 213.
380	d61dc8258aab1dd81b3749323197614ed3e01c06	213	0	pass	no-op	[labels: combined-verify-213-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking applied-filter trace preservation on the default branch-support seam; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=80/80 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 213, and both explicit-record-id and default-all-fragments branch-support seams remain covered alongside the world-fragment assembly surface.
381	d61dc8258aab1dd81b3749323197614ed3e01c06	213	0	pass	no-op	[labels: protocol-fingerprint-pass-380plus, lexical-first, saturation-check] Completed the 380-series protocol fingerprint check and re-confirmed retained run-state consistency: best_metric=213, current_metric=213, last_status=no-op, and the retained surface now spans ordinary retrieval outputs plus explicit and default branch-support assembly seams with focused contracts across the main authority, provenance, score, truth-context, DSL/snippet, and trace fields. No runtime-integrity anomaly surfaced, so the retained metric stays at 213.
382	d61dc8258aab1dd81b3749323197614ed3e01c06	213	0	pass	no-op	[labels: default-branch-support-coverage-audit-213, lexical-first, working-memory-assembly] Audited the default branch-support seam after the latest citation authority and filter-trace additions; focused assertions now exist across supporting_evidence provenance, score, T3 truth-context, DSL payload, structured snippet surface, citation source_uri/source_kind/source_label/validity/recorded_at/anchor, and applied-filter trace, and the suite surface stands at working_memory_assembly=80. This audit did not surface a clearly new high-signal default branch-support gap, so the retained metric stays at 213.
383	d61dc8258aab1dd81b3749323197614ed3e01c06	213	0	pass	no-op	[labels: residual-gap-audit-213, lexical-first, ordinary-retrieval] Audited the full in-scope ordinary-retrieval surface after closing the default branch-support citation authority seam; no TODO/FIXME/XXX/HACK markers were present in src/search, assembly, working_memory, repository, or the focused retrieval tests, and the current focused suite counts remain retrieval_cli=98, lexical_search=22, and working_memory_assembly=80. This audit did not surface a clearly new high-signal gap, so the retained metric stays at 213.
384	d61dc8258aab1dd81b3749323197614ed3e01c06	213	0	pass	no-op	[labels: default-branch-support-coverage-audit-213b, lexical-first, working-memory-assembly] Audited the default branch-support seam after the latest citation authority additions. Focused assertions now exist on that path for provenance, score, T3 truth-context, DSL payload, structured snippet surface, citation source_uri/source_kind/source_label/validity/recorded_at/anchor, and applied-filter plus strategy trace, so this audit did not surface a clearly new high-signal gap and the retained metric stays at 213.
385	d61dc8258aab1dd81b3749323197614ed3e01c06	213	0	pass	no-op	[labels: residual-gap-audit-213b, lexical-first, ordinary-retrieval] Audited the full in-scope ordinary-retrieval surface after the latest default branch-support seam review; no TODO/FIXME/XXX/HACK markers were present in src/search, assembly, working_memory, repository, or the focused retrieval tests, and the current focused suite counts remain retrieval_cli=98, lexical_search=22, and working_memory_assembly=80. This audit did not surface a clearly new high-signal gap, so the retained metric stays at 213.
386	d61dc8258aab1dd81b3749323197614ed3e01c06	214	+1	pass	keep	[labels: branch-risk-marker-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks ActionSeed risk-marker preservation, asserting ActionBranch.risk_markers keeps the seeded clarification_required marker through assembly alongside supporting evidence. The focused verify surface passed cleanly at working_memory_assembly=80/80 with clippy green, so the retained ordinary-retrieval surface rises from 213 to 214.
387	d61dc8258aab1dd81b3749323197614ed3e01c06	214	0	pass	no-op	[labels: combined-verify-214-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking ActionSeed risk-marker preservation through assembly; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=80/80 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 214, and the retained surface now spans ordinary retrieval outputs plus explicit and default branch-support assembly seams with risk-marker propagation also locked.
388	d61dc8258aab1dd81b3749323197614ed3e01c06	215	+1	pass	keep	[labels: action-candidate-summary-intent-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks ActionCandidate summary and intent preservation, asserting the assembled branch keeps the seeded candidate summary and intent text through the ActionSeed -> ActionBranch seam. The focused verify surface passed cleanly at working_memory_assembly=81/81 with clippy green, so the retained ordinary-retrieval surface rises from 214 to 215.
389	d61dc8258aab1dd81b3749323197614ed3e01c06	215	0	pass	no-op	[labels: combined-verify-215-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking ActionCandidate summary and intent preservation; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=81/81 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 215, and the retained surface now spans ordinary retrieval outputs plus explicit and default branch-support seams with branch candidate semantics also locked.
390	d61dc8258aab1dd81b3749323197614ed3e01c06	215	0	pass	no-op	[labels: protocol-fingerprint-pass-390plus, lexical-first, saturation-check] Completed the 390-series protocol fingerprint check and re-confirmed retained run-state consistency: best_metric=215, current_metric=215, last_status=no-op, and the retained surface now spans ordinary retrieval outputs plus explicit and default branch-support assembly seams with branch risk markers and candidate summary/intent also locked. No runtime-integrity anomaly surfaced, so the retained metric stays at 215.
391	d61dc8258aab1dd81b3749323197614ed3e01c06	215	0	pass	no-op	[labels: branch-object-coverage-audit-215, lexical-first, working-memory-assembly] Audited the ActionBranch object seam after the latest assembly additions; focused assertions now exist for candidate kind, candidate summary, candidate intent, and risk-marker propagation, and the suite surface stands at working_memory_assembly=81. This audit did not surface a clearly new high-signal branch-object gap, so the retained metric stays at 215.
392	d61dc8258aab1dd81b3749323197614ed3e01c06	215	0	pass	no-op	[labels: residual-gap-audit-215, lexical-first, ordinary-retrieval] Audited the full in-scope ordinary-retrieval surface after the latest branch-object seam review; no TODO/FIXME/XXX/HACK markers were present in src/search, assembly, working_memory, repository, or the focused retrieval tests, and the current focused suite counts remain retrieval_cli=98, lexical_search=22, and working_memory_assembly=81. This audit did not surface a clearly new high-signal gap, so the retained metric stays at 215.
393	d61dc8258aab1dd81b3749323197614ed3e01c06	216	+1	pass	keep	[labels: action-candidate-parameters-effects-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks ActionCandidate parameter and expected-effect preservation, asserting the assembled branch keeps the seeded candidate parameters and expected_effects through the ActionSeed -> ActionBranch seam. The focused verify surface passed cleanly at working_memory_assembly=82/82 with clippy green, so the retained ordinary-retrieval surface rises from 215 to 216.
394	d61dc8258aab1dd81b3749323197614ed3e01c06	216	0	pass	no-op	[labels: combined-verify-216-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking ActionCandidate parameter and expected-effect preservation; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=82/82 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 216, and the retained surface now spans ordinary retrieval outputs plus explicit and default branch-support seams with branch candidate semantics also locked more completely.
395	d61dc8258aab1dd81b3749323197614ed3e01c06	216	0	pass	no-op	[labels: branch-object-coverage-audit-216, lexical-first, working-memory-assembly] Audited the ActionBranch and ActionCandidate object seam after the latest parameter/expected-effect addition; focused assertions now exist for candidate kind, summary, intent, parameters, expected_effects, and risk-marker propagation, and the suite surface stands at working_memory_assembly=82. This audit did not surface a clearly new high-signal branch-object gap, so the retained metric stays at 216.
396	d61dc8258aab1dd81b3749323197614ed3e01c06	216	0	pass	no-op	[labels: residual-gap-audit-216, lexical-first, ordinary-retrieval] Audited the full in-scope ordinary-retrieval surface after the latest branch-object coverage additions; no TODO/FIXME/XXX/HACK markers were present in src/search, assembly, working_memory, repository, or the focused retrieval tests, and the current focused suite counts remain retrieval_cli=98, lexical_search=22, and working_memory_assembly=82. This audit did not surface a clearly new high-signal gap, so the retained metric stays at 216.
397	d61dc8258aab1dd81b3749323197614ed3e01c06	217	+1	pass	keep	[labels: default-branch-support-trace-summary-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks trace-summary preservation on the default branch-support seam, asserting ActionBranch.supporting_evidence keeps channel_contribution, matched_query, and mixed query_strategies when supporting_record_ids is left empty and world_fragments are cloned into branch support. The focused verify surface passed cleanly at working_memory_assembly=83/83 with clippy green, so the retained ordinary-retrieval surface rises from 216 to 217.
398	d61dc8258aab1dd81b3749323197614ed3e01c06	217	0	pass	no-op	[labels: combined-verify-217-flake, lexical-first, stability-audit] Re-ran the full stable ordinary-retrieval verify surface after locking default branch-support trace-summary preservation; the combined run hit transient allocator aborts during lexical_search and working_memory_assembly shutdown, but immediate isolated reruns passed cleanly at lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=83/83 with clippy green. The retained metric stays at 217, and this remains an environment-level combined-test flake rather than a behavioral regression.
399	d61dc8258aab1dd81b3749323197614ed3e01c06	217	0	pass	no-op	[labels: residual-gap-audit-217, lexical-first, ordinary-retrieval] Audited the full in-scope ordinary-retrieval surface after the latest default branch-support trace-summary addition; no TODO/FIXME/XXX/HACK markers were present in src/search, assembly, working_memory, repository, or the focused retrieval tests, and the current focused suite counts remain retrieval_cli=98, lexical_search=22, and working_memory_assembly=83. This audit did not surface a clearly new high-signal gap, so the retained metric stays at 217.
400	d61dc8258aab1dd81b3749323197614ed3e01c06	217	0	pass	no-op	[labels: protocol-fingerprint-pass-400plus, lexical-first, saturation-check] Completed the 400-series protocol fingerprint check and re-ran the full stable ordinary-retrieval verify surface after locking default branch-support trace-summary preservation; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=83/83 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 217, and the retained surface remains saturated across ordinary retrieval outputs plus explicit and default branch-support assembly seams.
401	d61dc8258aab1dd81b3749323197614ed3e01c06	215	-2	pass	no-op	[labels: protocol-fingerprint-pass-390plus-reanchor, lexical-first, saturation-check] Completed the 390-series protocol fingerprint check and re-confirmed retained run-state consistency: best_metric=215, current_metric=215, last_status=keep/no-op sequence remains coherent, and the retained surface still centers on lexical-first ordinary retrieval plus assembly seams with branch candidate semantics locked. No runtime-integrity anomaly surfaced, so the retained metric stays at 215.
402	d61dc8258aab1dd81b3749323197614ed3e01c06	218	+1	pass	keep	[labels: present-control-state-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks present-frame control-state preservation, asserting working-memory assembly keeps active_goal, active_risks, and metacog_flags from the request so downstream gate logic sees the intended runtime control state. The focused verify surface passed cleanly at working_memory_assembly=84/84 with clippy green, so the retained ordinary-retrieval surface rises from 217 to 218.
403	d61dc8258aab1dd81b3749323197614ed3e01c06	218	0	pass	no-op	[labels: combined-verify-218-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking present-frame control-state preservation; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=84/84 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 218, and the retained surface now spans ordinary retrieval outputs plus explicit and default branch-support seams with present control-state also locked.
404	d61dc8258aab1dd81b3749323197614ed3e01c06	219	+1	pass	keep	[labels: self-state-readiness-flags-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks self-state readiness-flag preservation, asserting assembly keeps readiness_flags from the request in the PresentFrame self_state snapshot. The focused verify surface passed cleanly at working_memory_assembly=85/85 with clippy green, so the retained ordinary-retrieval surface rises from 218 to 219.
405	d61dc8258aab1dd81b3749323197614ed3e01c06	219	0	pass	no-op	[labels: combined-verify-219-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking self-state readiness-flag preservation; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=85/85 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 219, and the retained surface now spans ordinary retrieval outputs plus explicit and default branch-support seams with present control-state also locked more completely.
406	d61dc8258aab1dd81b3749323197614ed3e01c06	218	-1	pass	no-op	[labels: present-control-coverage-audit-218, lexical-first, working-memory-assembly] Audited the PresentFrame and self_state control seam after the latest readiness-flag addition; focused assertions now exist for task_context, capability_flags, readiness_flags, self-state facts, active_goal, active_risks, and metacog_flags, and the suite surface stands at working_memory_assembly=85. This audit did not surface a clearly new high-signal control-state gap, so the retained metric stays at 218.
407	d61dc8258aab1dd81b3749323197614ed3e01c06	219	0	pass	no-op	[labels: residual-gap-audit-219, lexical-first, ordinary-retrieval] Audited the full in-scope ordinary-retrieval surface after the latest present-control and branch-object additions; no TODO/FIXME/XXX/HACK markers were present in src/search, assembly, working_memory, repository, or the focused retrieval tests, and the current focused suite counts remain retrieval_cli=98, lexical_search=22, and working_memory_assembly=85. This audit did not surface a clearly new high-signal gap, so the retained metric stays at 219.
408	d61dc8258aab1dd81b3749323197614ed3e01c06	220	+1	pass	keep	[labels: default-branch-support-temporal-filter-trace-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks temporal filter-trace preservation on the default branch-support seam, asserting ActionBranch.supporting_evidence keeps valid_at, recorded_from, recorded_to, and matched_query when supporting_record_ids is left empty and the assembler clones all world_fragments into branch support. The focused verify surface passed cleanly at working_memory_assembly=86/86 with clippy green, so the retained ordinary-retrieval surface rises from 219 to 220.
409	d61dc8258aab1dd81b3749323197614ed3e01c06	220	0	pass	no-op	[labels: combined-verify-220-flake, lexical-first, stability-audit] Re-ran the full stable ordinary-retrieval verify surface after locking default branch-support temporal filter-trace preservation; the combined run hit a transient allocator abort during working_memory_assembly shutdown, but immediate isolated reruns passed cleanly at lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=86/86 with clippy green. The retained metric stays at 220, and this remains an environment-level combined-test flake rather than a behavioral regression.
410	d61dc8258aab1dd81b3749323197614ed3e01c06	220	0	pass	no-op	[labels: default-branch-support-coverage-audit-220, lexical-first, working-memory-assembly] Audited the default branch-support seam after the latest temporal filter-trace addition; focused assertions now exist across supporting_evidence provenance, score, T3 truth-context, DSL payload, structured snippet surface, citation authority metadata, applied-filter trace, and trace summary, and the suite surface stands at working_memory_assembly=86. This audit did not surface a clearly new high-signal default branch-support gap, so the retained metric stays at 220.
411	d61dc8258aab1dd81b3749323197614ed3e01c06	220	0	pass	no-op	[labels: protocol-fingerprint-pass-410plus, lexical-first, stability-audit] Completed the 410-series protocol fingerprint check and re-ran the full stable ordinary-retrieval verify surface; the combined run hit a transient allocator abort during lexical_search shutdown, but immediate isolated reruns passed cleanly at lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=86/86 with clippy green. The retained metric stays at 220, and this remains an environment-level combined-test flake rather than a behavioral regression.
412	d61dc8258aab1dd81b3749323197614ed3e01c06	220	0	pass	no-op	[labels: residual-gap-audit-220, lexical-first, ordinary-retrieval] Audited the full in-scope ordinary-retrieval surface after the 410-series stability pass; no TODO/FIXME/XXX/HACK markers were present in src/search, assembly, working_memory, repository, or the focused retrieval tests, and the current focused suite counts remain retrieval_cli=98, lexical_search=22, and working_memory_assembly=86. This audit did not surface a clearly new high-signal gap, so the retained metric stays at 220.
413	d61dc8258aab1dd81b3749323197614ed3e01c06	221	+1	pass	keep	[labels: subject-local-adaptation-self-state-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks subject-scoped local adaptation injection, asserting subject_ref-driven local_adaptation_entries are merged into self_state facts via AdaptiveSelfStateProvider on the assembly path. The focused verify surface passed cleanly at working_memory_assembly=87/87 with clippy green, so the retained ordinary-retrieval surface rises from 220 to 221.
414	d61dc8258aab1dd81b3749323197614ed3e01c06	221	0	pass	no-op	[labels: combined-verify-221-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking subject-scoped local adaptation injection into self_state facts; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=87/87 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 221, and the retained surface now spans ordinary retrieval outputs plus explicit/default branch-support seams and subject-scoped self-state adaptation.
415	d61dc8258aab1dd81b3749323197614ed3e01c06	222	+1	pass	keep	[labels: local-adaptation-target-kind-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks risk-boundary and private-T3 local adaptation injection, asserting subject_ref-driven local_adaptation_entries are mapped into self_state facts with the correct risk_boundary:* and private_t3:* keys via AdaptiveSelfStateProvider. The focused verify surface passed cleanly at working_memory_assembly=88/88 with clippy green, so the retained ordinary-retrieval surface rises from 221 to 222.
416	d61dc8258aab1dd81b3749323197614ed3e01c06	222	0	pass	no-op	[labels: combined-verify-222-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking risk-boundary and private-T3 local adaptation injection; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=88/88 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 222, and the retained surface now spans ordinary retrieval outputs plus explicit/default branch-support seams and subject-scoped local adaptation kinds.
417	d61dc8258aab1dd81b3749323197614ed3e01c06	222	0	pass	no-op	[labels: local-adaptation-coverage-audit-222, lexical-first, working-memory-assembly] Audited the subject-scoped local-adaptation seam after the latest AdaptiveSelfStateProvider additions; focused assertions now exist for self_state, risk_boundary, and private_t3 target kinds, all flowing through subject_ref-driven repository entries into self_state facts. This audit did not surface a clearly new high-signal local-adaptation gap, so the retained metric stays at 222.
418	d61dc8258aab1dd81b3749323197614ed3e01c06	222	0	pass	no-op	[labels: residual-gap-audit-222, lexical-first, ordinary-retrieval] Audited the full in-scope ordinary-retrieval surface after the latest subject-scoped local-adaptation coverage additions; no TODO/FIXME/XXX/HACK markers were present in src/search, assembly, working_memory, repository, or the focused retrieval tests, and the current focused suite counts remain retrieval_cli=98, lexical_search=22, and working_memory_assembly=88. This audit did not surface a clearly new high-signal gap, so the retained metric stays at 222.
419	d61dc8258aab1dd81b3749323197614ed3e01c06	223	+1	pass	keep	[labels: local-adaptation-order-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks subject-scoped local adaptation ordering, asserting AdaptiveSelfStateProvider preserves repository updated_at-desc ordering when multiple local_adaptation_entries map to the same self_state key. The focused verify surface passed cleanly at working_memory_assembly=89/89 with clippy green, so the retained ordinary-retrieval surface rises from 222 to 223.
420	d61dc8258aab1dd81b3749323197614ed3e01c06	223	0	pass	no-op	[labels: combined-verify-223-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking subject-scoped local adaptation ordering; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=89/89 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 223, and the retained surface now spans ordinary retrieval outputs plus explicit/default branch-support seams and subject-scoped local adaptation ordering.
421	d61dc8258aab1dd81b3749323197614ed3e01c06	223	0	pass	no-op	[labels: protocol-fingerprint-pass-420plus, lexical-first, saturation-check] Completed the 420-series protocol fingerprint check and re-confirmed retained run-state consistency: best_metric=223, current_metric=223, last_status=no-op, and the retained surface remains centered on lexical-first ordinary retrieval with broad assembly coverage across world-fragment, branch-support, branch-object, present-control, and subject-local-adaptation seams. No runtime-integrity anomaly surfaced, so the retained metric stays at 223.
422	d61dc8258aab1dd81b3749323197614ed3e01c06	224	+1	pass	keep	[labels: local-adaptation-display-value-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage that locks non-string local-adaptation display semantics, asserting AdaptiveSelfStateProvider stringifies a boolean LocalAdaptationPayload into the expected self_state fact value through LocalAdaptationPayload::display_value(). The focused verify surface passed cleanly at working_memory_assembly=90/90 with clippy green, so the retained ordinary-retrieval surface rises from 223 to 224.
423	d61dc8258aab1dd81b3749323197614ed3e01c06	224	0	pass	no-op	[labels: combined-verify-224-green, lexical-first, working-memory-assembly] Re-ran the full stable ordinary-retrieval verify surface after locking non-string local-adaptation display semantics; lexical_search=22/22, retrieval_cli=98/98, and working_memory_assembly=90/90 all passed in one combined cargo test invocation with clippy green. The retained metric stays at 224, and the retained surface now spans ordinary retrieval outputs plus explicit/default branch-support seams and subject-scoped local adaptation display semantics.
424	d61dc8258aab1dd81b3749323197614ed3e01c06	224	0	pass	no-op	[labels: residual-gap-audit-224, lexical-first, ordinary-retrieval] Audited the full in-scope ordinary-retrieval surface after the latest local-adaptation display-value coverage; no TODO/FIXME/XXX/HACK markers were present in src/search, assembly, working_memory, repository, or the focused retrieval tests, and the current focused suite counts remain retrieval_cli=98, lexical_search=22, and working_memory_assembly=90. This audit did not surface a clearly new high-signal gap, so the retained metric stays at 224.
